series_id                     	year	period	value	footnote_codes
ORUC1000001O00001160          	2022	A01	64.2	7
ORUC1000001O00001161          	2022	A01	35.8	
ORUC1000001O00001166          	2022	A01	74.6	7
ORUC1000001O00001167          	2022	A01	18.9	
ORUC1000001O00001171          	2022	A01	60.7	7
ORUC1000001O00001172          	2022	A01	1.9	
ORUC1000001O00001173          	2022	A01	37.4	
ORUC1000001O00001176          	2022	A01	90.1	7
ORUC1000001O00001177          	2022	A01	9.9	
ORUC1000001O00001186          	2022	A01	-	1
ORUC1000001O00001187          	2022	A01	99.6	7
ORUC1000001O00001197          	2022	A01	95.0	7
ORUC1000001O00001205          	2022	A01	57.4	7
ORUC1000001O00001206          	2022	A01	42.6	
ORUC1000001Q00001149          	2022	A01	84.9	7
ORUC1000001Q00001150          	2022	A01	15.1	
ORUC1000001Q00001160          	2022	A01	62.1	7
ORUC1000001Q00001161          	2022	A01	37.9	
ORUC1000001Q00001166          	2022	A01	40.1	
ORUC1000001Q00001167          	2022	A01	58.3	7
ORUC1000001Q00001171          	2022	A01	33.9	
ORUC1000001Q00001172          	2022	A01	14.2	
ORUC1000001Q00001173          	2022	A01	51.9	7
ORUC1000001Q00001176          	2022	A01	97.7	7
ORUC1000001Q00001197          	2022	A01	74.1	7
ORUC1000001Q00001198          	2022	A01	25.9	
ORUC1000001Q00001205          	2022	A01	25.5	
ORUC1000001Q00001206          	2022	A01	74.5	7
ORUC1000001V00001149          	2022	A01	85.2	7
ORUC1000001V00001150          	2022	A01	14.8	
ORUC1000001V00001197          	2022	A01	83.6	7
ORUC1000001V00001198          	2022	A01	16.4	
ORUC1000001V00001202          	2022	A01	100.0	7
ORUC1000001V00001205          	2022	A01	37.4	
ORUC1000001V00001206          	2022	A01	62.6	7
ORUC1000002E00001149          	2022	A01	70.6	7
ORUC1000002E00001150          	2022	A01	29.4	
ORUC1000002E00001160          	2022	A01	49.8	
ORUC1000002E00001161          	2022	A01	50.2	7
ORUC1000002E00001166          	2022	A01	40.6	
ORUC1000002E00001167          	2022	A01	58.5	7
ORUC1000002E00001171          	2022	A01	28.9	
ORUC1000002E00001172          	2022	A01	28.5	
ORUC1000002E00001173          	2022	A01	42.6	7
ORUC1000002E00001176          	2022	A01	100.0	7
ORUC1000002E00001181          	2022	A01	57.8	7
ORUC1000002E00001182          	2022	A01	34.8	
ORUC1000002E00001187          	2022	A01	99.4	7
ORUC1000002E00001197          	2022	A01	85.5	7
ORUC1000002E00001198          	2022	A01	14.5	
ORUC1000002E00001205          	2022	A01	42.2	
ORUC1000002E00001206          	2022	A01	57.8	7
ORUC1000002F00001149          	2022	A01	82.2	7
ORUC1000002F00001150          	2022	A01	17.8	
ORUC1000002F00001154          	2022	A01	7.9	
ORUC1000002F00001155          	2022	A01	18.1	
ORUC1000002F00001156          	2022	A01	38.0	7
ORUC1000002F00001157          	2022	A01	36.0	
ORUC1000002F00001160          	2022	A01	72.6	7
ORUC1000002F00001161          	2022	A01	27.4	
ORUC1000002F00001165          	2022	A01	2.9	
ORUC1000002F00001166          	2022	A01	31.4	
ORUC1000002F00001167          	2022	A01	65.7	7
ORUC1000002F00001171          	2022	A01	26.9	
ORUC1000002F00001172          	2022	A01	14.8	
ORUC1000002F00001173          	2022	A01	58.2	7
ORUC1000002F00001176          	2022	A01	99.9	7
ORUC1000002F00001180          	2022	A01	1.1	
ORUC1000002F00001181          	2022	A01	53.4	7
ORUC1000002F00001182          	2022	A01	44.8	
ORUC1000002F00001183          	2022	A01	0.6	
ORUC1000002F00001186          	2022	A01	5.4	
ORUC1000002F00001187          	2022	A01	94.6	7
ORUC1000002F00001197          	2022	A01	74.6	7
ORUC1000002F00001198          	2022	A01	25.4	
ORUC1000002F00001202          	2022	A01	100.0	7
ORUC1000002F00001205          	2022	A01	45.2	
ORUC1000002F00001206          	2022	A01	54.8	7
ORUC1000002O00001150          	2022	A01	99.0	7
ORUC1000002O00001154          	2022	A01	2.0	
ORUC1000002O00001155          	2022	A01	8.1	
ORUC1000002O00001156          	2022	A01	23.8	
ORUC1000002O00001157          	2022	A01	66.2	7
ORUC1000002O00001160          	2022	A01	22.6	
ORUC1000002O00001161          	2022	A01	77.4	7
ORUC1000002O00001165          	2022	A01	1.6	
ORUC1000002O00001166          	2022	A01	30.8	
ORUC1000002O00001167          	2022	A01	67.3	7
